"id","part_number","description","material","dimensions","category_raw","category_master","cost","currency","vendor_name","updated_at","source_file","source_system","price_per_unom","raw_json","vault_engineer_name","vault_vault_file_name","vault_revision_no","invoice_description_raw","sap_revision_no","sap_cad_file","po_vendor_name","sap_category","vault_checkout_status","po_description_raw","invoice_due_date","powerbi_abc_class","sap_drawing_no","powerbi_category","sap_engineer_name","invoice_vendor_name","invoice_unit_price","po_delivery_date","vault_material","sap_spec_material","sap_storage_location","invoice_qty_supplied","sap_currency","powerbi_criticality_index","category","sap_approval_status","vault_cad_type","vault_notes","sap_spec_weight","sap_created_date","sap_spec_grade","powerbi_description","powerbi_powerbi_flag","invoice_remarks","po_currency","po_po_no","sap_spec_tolerance","sap_active_flag","sap_sub_category","sap_price_per_uom","powerbi_avg_lead_time_days","sap_commodity_code","powerbi_risk_rating","vault_lifecycle_state","po_order_date","sap_vendor_code","sap_order_uom","sap_material_type","sap_plant","sap_spec_dimensions","powerbi_material","powerbi_sub_category","po_remarks","invoice_invoice_no","sap_valuation_type","sap_is_standard_part","sap_material_group","sap_spec_finish","invoice_invoice_date","vault_file_size_mb","sap_description_clean","po_qty_ordered","vault_category","vault_dimensions","sap_stock_qty","po_price_per_unit","sap_purchase_uom","vault_created_date","sap_material_code","vault_sub_category","invoice_currency","vault_last_modified","powerbi_utilization_score","powerbi_analysis_comment","sap_description_raw","sap_vendor_name","vault_drawing_no","powerbi_movement_frequency","user_dimensions","user_material","user_description","user_category","user_source_system","is_standard_part","revision_no","material_group","spec_dimensions","checkout_status","price_per_uom","utilization_score","spec_grade","movement_frequency","spec_tolerance","description_raw","risk_rating","all_sources","powerbi_flag","stock_qty","material_2","vendor_code","storage_location","sub_category","notes","description_clean","commodity_code","engineer_name","active_flag","drawing_no","lifecycle_state","cad_file","part_number_2","purchase_uom","analysis_comment","ocr_text","file_size_mb","criticality_index","avg_lead_time_days","order_uom","cad_type","plant","last_modified","valuation_type","abc_class","spec_finish","spec_weight","approval_status","spec_material","page","created_date","vault_file_name","sources","powerbi_material_2","sap_part_number_2","vault_material_2"
1,"P0001","Copper Roller Bearing 38x195 mm","ROH","38x195","Bearing","Bearing",NULL,"EUR","ElectroWorks","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0001.ipt","C","NaN","C","part_0001.step","NaN","Bearing","Checked In","NaN","NaN","C","DRW0001","Bearing","Arun","NaN","NaN","NaN","Copper","Copper","SL36","NaN","EUR","5.0","Bearing","Pending","IAM","Check interference","13.72","10-03-2024","EN8","Copper Roller Bearing 38x195 mm","High","NaN","NaN","NaN","±0.99 mm","NO","Roller Bearing","2882.33","41.0","25202984.0","A","Under Review","NaN","V226","BOX","ROH","2000.0","38x195 mm","Copper","Roller Bearing","NaN","NaN","Batch","NO","Bearing","Zinc Plated","NaN","4.73","Copper Roller Bearing 38x195 mm","NaN","Bearing","38x195 mm","717.0","NaN","KG","10-03-2024","M0001","Roller Bearing","NaN","07-09-2021","0.97","Check vendor lead time","Copper Roller Bearing 38x195 mm","ElectroWorks","DRW0001","46.0","38x195 mm","Copper","Copper Roller
Bearing
38x195 mm","Bearing","user","NO","C","Bearing","38x195 mm","Checked In","2882.33","0.97","EN8","46.0","±0.99 mm","Copper Roller Bearing 38x195 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","717.0","Copper","V226","SL36","Roller Bearing","Check interference","Copper Roller Bearing 38x195 mm","25202984.0","Priya","NO","DRW0001","Under Review","part_0001.step","M0001","KG","Check vendor lead time",NULL,"4.73","5.0","41.0","BOX","IAM","2000.0","07-09-2021","Batch","C","Zinc Plated","13.72","Pending","Copper","NaN","10-03-2024","P0001.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Copper Roller Bearing 38x195 mm""}]","Copper","M0001","Copper"
2,"P0002","Steel Screw 48x102 mm","HALB","48x102","Fastener","Fastener",NULL,"USD","Tech Supplies","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"John","P0002.ipt","D","NaN","D","part_0002.step","NaN","Fastener","Checked In","NaN","NaN","A","DRW0002","Fastener","Suresh","NaN","NaN","NaN","Steel","Steel","SL31","NaN","USD","4.0","Fastener","Approved","IAM","Update model","9.1","24-07-2022","A4","Steel Screw 48x102 mm","Low","NaN","NaN","NaN","±0.94 mm","NO","Screw","1284.93","36.0","44839038.0","B","In Work","NaN","V218","EA","HALB","2000.0","48x102 mm","Steel","Screw","NaN","NaN","Batch","YES","Fastener","Anodized","NaN","9.93","Steel Screw 48x102 mm","NaN","Fastener","48x102 mm","362.0","NaN","KG","24-07-2022","M0002","Screw","NaN","11-11-2021",NULL,NULL,"Steel Screw 48x102 mm","Tech Supplies","DRW0002",NULL,"48x102 mm","Steel","Steel Screw
48x102 mm","Fastener","user","YES","D","Fastener","48x102 mm","Checked In","1284.93",NULL,"A4",NULL,"±0.94 mm","Steel Screw 48x102 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","362.0","Steel","V218","SL31","Screw","Update model","Steel Screw 48x102 mm","44839038.0","John","NO","DRW0002","In Work","part_0002.step","M0002","KG",NULL,NULL,"9.93","4.0","36.0","EA","IAM","2000.0","11-11-2021","Batch","A","Anodized","9.1","Approved","Steel","NaN","24-07-2022","P0002.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Steel Screw 48x102 mm""}]","Steel","M0002","Steel"
3,"P0003","Nylon DC Motor 27x17 mm","ROH","27x17","Motor","Motor",NULL,"INR","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Kumar","P0003.ipt","B","NaN","B","part_0003.step","NaN","Motor","Checked Out","NaN","NaN","A","DRW0003","Motor","Arun","NaN","NaN","NaN","Nylon","Nylon","SL13","NaN","INR",NULL,"Motor","Under Review","IAM",NULL,"6.4","06-06-2020","SS304","Nylon DC Motor 27x17 mm","Low","NaN","NaN","NaN","±0.94 mm","NO","DC Motor","1439.21",NULL,"20632110.0","B","Released","NaN","V478","BOX","ROH","2000.0","27x17 mm","Nylon","DC Motor","NaN","NaN","Standard","YES","Motor",NULL,"NaN","0.87","Nylon DC Motor 27x17 mm","NaN","Motor","27x17 mm","1724.0","NaN","EA","06-06-2020","M0003","DC Motor","NaN","22-02-2023","0.19","Check vendor lead time","Nylon DC Motor 27x17 mm","ABC Industries","DRW0003","51.0","27x17 mm","Nylon","Nylon DC
Motor 27x17
mm","Motor","user","YES","B","Motor","27x17 mm","Checked Out","1439.21","0.19","SS304","51.0","±0.94 mm","Nylon DC Motor 27x17 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","1724.0","Nylon","V478","SL13","DC Motor",NULL,"Nylon DC Motor 27x17 mm","20632110.0","Kumar","NO","DRW0003","Released","part_0003.step","M0003","EA","Check vendor lead time",NULL,"0.87",NULL,NULL,"BOX","IAM","2000.0","22-02-2023","Standard","A",NULL,"6.4","Under Review","Nylon","NaN","06-06-2020","P0003.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Nylon DC Motor 27x17 mm""}]","Nylon","M0003","Nylon"
4,"P0004","SS316 Nut 7x44 mm","FERT","7x44","Fastener","Fastener",NULL,"USD","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0004.ipt","B","NaN","B","part_0004.step","NaN","Fastener","Checked Out","NaN","NaN","C","DRW0004","Fastener","John","NaN","NaN","NaN","SS316","SS316","SL34","NaN","USD","4.0","Fastener","Under Review","IAM",NULL,"12.66","07-11-2020","SS304","SS316 Nut 7x44 mm","Medium","NaN","NaN","NaN","±0.29 mm","NO","Nut","3293.12","74.0","58967817.0","B","In Work","NaN","V335","EA","FERT","3000.0","7x44 mm","SS316","Nut","NaN","NaN","Batch","YES","Fastener","Anodized","NaN","16.42","SS316 Nut 7x44 mm","NaN","Fastener","7x44 mm","781.0","NaN","KG","07-11-2020","M0004","Nut","NaN","15-10-2024","0.58","Check vendor lead time","SS316 Nut 7x44 mm","ABC Industries","DRW0004",NULL,"7x44 mm","SS316","SS316 Nut
7x44 mm","Fastener","user","YES","B","Fastener","7x44 mm","Checked Out","3293.12","0.58","SS304",NULL,"±0.29 mm","SS316 Nut 7x44 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","781.0","SS316","V335","SL34","Nut",NULL,"SS316 Nut 7x44 mm","58967817.0","Suresh","NO","DRW0004","In Work","part_0004.step","M0004","KG","Check vendor lead time",NULL,"16.42","4.0","74.0","EA","IAM","3000.0","15-10-2024","Batch","C","Anodized","12.66","Under Review","SS316","NaN","07-11-2020","P0004.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS316 Nut 7x44 mm""}]","SS316","M0004","SS316"
5,"P0005","Cast Iron Nut 35x167 mm","FERT","35x167","Fastener","Fastener",NULL,"EUR","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Suresh","P0005.ipt","B","NaN","B","part_0005.step","NaN","Fastener","Checked Out","NaN","NaN","C","DRW0005","Fastener","Priya","NaN","NaN","NaN","Cast Iron","Cast Iron","SL27","NaN","EUR","5.0","Fastener","Under Review","STEP","Verify with drawing","9.5","19-12-2022","SS316","Cast Iron Nut 35x167 mm","High","NaN","NaN","NaN","±0.46 mm","YES","Nut","3051.8",NULL,"86997160.0","A","In Work","NaN","V909","EA","FERT","2000.0","35x167 mm","Cast Iron","Nut","NaN","NaN","Batch","YES","Fastener","Polished","NaN","22.16","Cast Iron Nut 35x167 mm","NaN","Fastener","35x167 mm","199.0","NaN","EA","19-12-2022","M0005","Nut","NaN","24-04-2021",NULL,"Part used frequently","Cast Iron Nut 35x167 mm","ABC Industries","DRW0005","83.0","35x167 mm","Cast Iron","Cast Iron Nut
35x167 mm","Fastener","user","YES","B","Fastener","35x167 mm","Checked Out","3051.8",NULL,"SS316","83.0","±0.46 mm","Cast Iron Nut 35x167 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","High","199.0","Cast Iron","V909","SL27","Nut","Verify with drawing","Cast Iron Nut 35x167 mm","86997160.0","Suresh","YES","DRW0005","In Work","part_0005.step","M0005","EA","Part used frequently",NULL,"22.16","5.0",NULL,"EA","STEP","2000.0","24-04-2021","Batch","C","Polished","9.5","Under Review","Cast Iron","NaN","19-12-2022","P0005.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Cast Iron Nut 35x167 mm""}]","Cast Iron","M0005","Cast Iron"
6,"P0006","SS304 Stepper Motor 45x52 mm","ROH","45x52","Motor","Motor",NULL,"INR","Global Metals","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Meena","P0006.ipt","B","NaN","B","part_0006.step","NaN","Motor","Checked Out","NaN","NaN","C","DRW0006","Motor","Meena","NaN","NaN","NaN","SS304","SS304","SL49","NaN","INR",NULL,"Bearing","Approved","IAM","Verify with drawing","3.42","05-09-2023","SS304","SS304 Stepper Motor 45x52 mm","Medium","NaN","NaN","NaN","±0.86 mm","NO","Stepper Motor","1794.14",NULL,"96119023.0","B","Released","NaN","V366","EA","ROH","1000.0","45x52 mm","SS304","Stepper Motor","NaN","NaN","Batch","NO","Motor","Zinc Plated","NaN","19.31","SS304 Stepper Motor 45x52 mm","NaN","Motor","45x52 mm","1345.0","NaN","EA","05-09-2023","M0006","Stepper Motor","NaN","05-06-2023",NULL,"Check vendor lead time","SS304 Stepper Motor 45x52 mm","Global Metals","DRW0006","9.0","35x150 mm","Brass","Brass Roller Bearing 35x150 mm","Bearing","user","NO","B","Motor","45x52 mm","Checked Out","1794.14",NULL,"SS304","9.0","±0.86 mm","SS304 Stepper Motor 45x52 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","1345.0","SS304","V366","SL49","Stepper Motor","Verify with drawing","SS304 Stepper Motor 45x52 mm","96119023.0","Meena","NO","DRW0006","Released","part_0006.step","M0006","EA","Check vendor lead time",NULL,"19.31",NULL,NULL,"EA","IAM","1000.0","05-06-2023","Batch","C","Zinc Plated","3.42","Approved","SS304","NaN","05-09-2023","P0006.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS304 Stepper Motor 45x52 mm""}]","SS304","M0006","SS304"
7,"P0007","Brass DC Motor 20x162 mm","FERT","20x162","Motor","Motor",NULL,"EUR","MechSolutions","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"John","P0007.ipt","D","NaN","D","part_0007.step","NaN","Motor","Checked Out","NaN","NaN","C","DRW0007","Motor","John","NaN","NaN","NaN","Brass","Brass","SL10","NaN","EUR","4.0","Fastener","Pending","DWG",NULL,"13.71","24-02-2021","SS316","Brass DC Motor 20x162 mm","Medium","NaN","NaN","NaN","±0.68 mm","NO","DC Motor","3251.38","22.0","45211434.0","C","In Work","NaN","V517","BOX","FERT","1000.0","20x162 mm","Brass","DC Motor","NaN","NaN","Standard","NO","Motor","Anodized","NaN","6.36","Brass DC Motor 20x162 mm","NaN","Motor","20x162 mm","88.0","NaN","KG","24-02-2021","M0007","DC Motor","NaN","20-11-2024","0.96",NULL,"Brass DC Motor 20x162 mm","MechSolutions","DRW0007","28.0","18x45 mm","Steel","Steel Hex Bolt 18x45 mm","Fastener","user","NO","D","Motor","20x162 mm","Checked Out","3251.38","0.96","SS316","28.0","±0.68 mm","Brass DC Motor 20x162 mm","C","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","88.0","Brass","V517","SL10","DC Motor",NULL,"Brass DC Motor 20x162 mm","45211434.0","John","NO","DRW0007","In Work","part_0007.step","M0007","KG",NULL,NULL,"6.36","4.0","22.0","BOX","DWG","1000.0","20-11-2024","Standard","C","Anodized","13.71","Pending","Brass","NaN","24-02-2021","P0007.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Brass DC Motor 20x162 mm""}]","Brass","M0007","Brass"
8,"P0008","Aluminum Roller Bearing 39x19 mm","HALB","39x19","Bearing","Bearing",NULL,"EUR","ElectroWorks","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Kumar","P0008.ipt","C","NaN","C","part_0008.step","NaN","Bearing","Checked In","NaN","NaN","C","DRW0008","Bearing","Arun","NaN","NaN","NaN","Aluminum","Aluminum","SL6","NaN","EUR","1.0","Fastener","Approved","IAM","Check interference","12.67","20-08-2024","EN8","Aluminum Roller Bearing 39x19 mm","Medium","NaN","NaN","NaN","±0.49 mm","NO","Roller Bearing","2911.33",NULL,"14735717.0","B","Under Review","NaN","V976","KG","HALB","2000.0","39x19 mm","Aluminum","Roller Bearing","NaN","NaN","Standard","NO","Bearing",NULL,"NaN","14.85","Aluminum Roller Bearing 39x19 mm","NaN","Bearing","39x19 mm","422.0","NaN","MTR","20-08-2024","M0008","Roller Bearing","NaN","04-04-2023","0.38","High stock movement","Aluminum Roller Bearing 39x19 mm","ElectroWorks","DRW0008",NULL,"10x32 mm","SS304","SS304 Washer 10x32 mm","Fastener","user","NO","C","Bearing","39x19 mm","Checked In","2911.33","0.38","EN8",NULL,"±0.49 mm","Aluminum Roller Bearing 39x19 mm","B","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","422.0","Aluminum","V976","SL6","Roller Bearing","Check interference","Aluminum Roller Bearing 39x19 mm","14735717.0","Kumar","NO","DRW0008","Under Review","part_0008.step","M0008","MTR","High stock movement",NULL,"14.85","1.0",NULL,"KG","IAM","2000.0","04-04-2023","Standard","C",NULL,"12.67","Approved","Aluminum","NaN","20-08-2024","P0008.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Aluminum Roller Bearing 39x19 mm""}]","Aluminum","M0008","Aluminum"
9,"P0009","SS316 Coupler 9x14 mm","HALB","9x14","Hydraulic","Hydraulic",NULL,"EUR","ABC Industries","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0009.ipt","C","NaN","C","part_0009.step","NaN","Hydraulic","Checked In","NaN","NaN","C","DRW0009","Hydraulic","Kumar","NaN","NaN","NaN","SS316","SS316","SL24","NaN","EUR","2.0","Pipe Fitting","Pending","DWG","Update model","2.63","16-04-2024","SS304","SS316 Coupler 9x14 mm","Medium","NaN","NaN","NaN","±0.39 mm","NO","Coupler","1458.17","60.0","81563511.0","A","Obsolete","NaN","V190","BOX","HALB","3000.0","9x14 mm","SS316","Coupler","NaN","NaN","Standard","NO","Hydraulic","Zinc Plated","NaN","24.42","SS316 Coupler 9x14 mm","NaN","Hydraulic","9x14 mm","1326.0","NaN","KG","16-04-2024","M0009","Coupler","NaN","18-09-2024","0.13","Part used frequently","SS316 Coupler 9x14 mm","ABC Industries","DRW0009",NULL,"22x65 mm","Aluminum","Aluminum Pipe Coupling 22x65 mm","Pipe Fitting","user","NO","C","Hydraulic","9x14 mm","Checked In","1458.17","0.13","SS304",NULL,"±0.39 mm","SS316 Coupler 9x14 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Medium","1326.0","SS316","V190","SL24","Coupler","Update model","SS316 Coupler 9x14 mm","81563511.0","Priya","NO","DRW0009","Obsolete","part_0009.step","M0009","KG","Part used frequently",NULL,"24.42","2.0","60.0","BOX","DWG","3000.0","18-09-2024","Standard","C","Zinc Plated","2.63","Pending","SS316","NaN","16-04-2024","P0009.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""SS316 Coupler 9x14 mm""}]","SS316","M0009","SS316"
10,"P0010","Aluminum Elbow 50x198 mm","HALB","50x198","Pipe Fitting","Pipe Fitting",NULL,"INR","ElectroWorks","2025-12-08 02:09:37.655699","powerbi_mock_aligned.xlsx","powerbi",NULL,NULL,"Priya","P0010.ipt","B","NaN","B","part_0010.step","NaN","Pipe Fitting","Checked Out","NaN","NaN","B","DRW0010","Pipe Fitting","Priya","NaN","NaN","NaN","Aluminum","Aluminum","SL20","NaN","INR",NULL,"Electrical","Under Review","IAM","Check interference","4.46","26-01-2024","SS304","Aluminum Elbow 50x198 mm","Low","NaN","NaN","NaN","±0.64 mm","YES","Elbow","2096.8","64.0","38610938.0","A","Obsolete","NaN","V565","KG","HALB","1000.0","50x198 mm","Aluminum","Elbow","NaN","NaN","Batch","NO","Pipe Fitting",NULL,"NaN","8.78","Aluminum Elbow 50x198 mm","NaN","Pipe Fitting","50x198 mm","445.0","NaN","KG","26-01-2024","M0010","Elbow","NaN","11-02-2021",NULL,"Consider alternate sourcing","Aluminum Elbow 50x198 mm","ElectroWorks","DRW0010",NULL,"14x90 mm","Nylon","Nylon Relay Bracket 14x90 mm","Electrical","user","NO","B","Pipe Fitting","50x198 mm","Checked Out","2096.8",NULL,"SS304",NULL,"±0.64 mm","Aluminum Elbow 50x198 mm","A","[{""source_system"": ""vault"", ""source_file"": ""vault_mock_aligned.xlsx""}, {""source_system"": ""powerbi"", ""source_file"": ""powerbi_mock_aligned.xlsx""}]","Low","445.0","Aluminum","V565","SL20","Elbow","Check interference","Aluminum Elbow 50x198 mm","38610938.0","Priya","YES","DRW0010","Obsolete","part_0010.step","M0010","KG","Consider alternate sourcing",NULL,"8.78",NULL,"64.0","KG","IAM","1000.0","11-02-2021","Batch","B",NULL,"4.46","Under Review","Aluminum","NaN","26-01-2024","P0010.ipt","[{""source"": ""sap"", ""file"": ""sap_master_mock.xlsx"", ""desc"": NaN}, {""source"": ""vault"", ""file"": ""vault_mock_aligned.xlsx"", ""desc"": NaN}, {""source"": ""powerbi"", ""file"": ""powerbi_mock_aligned.xlsx"", ""desc"": ""Aluminum Elbow 50x198 mm""}]","Aluminum","M0010","Aluminum"
